gene,threshold,tumor,normal,tumor_specific,neg_in_prad,breast_tumor_specific,repro_in_pdx,repro_frac,breast_ts_repro_in_pdx,breast_ts_repro_frac,pdx,prad,novel_ts,novel_repro_in_pdx,novel_repro_frac
ACTB,1,44,29,22,3,19,2,0.0909,1,0.0526,145,35,22,2,0.0909
ACTB,2,42,28,20,3,17,1,0.05,1,0.0588,83,32,20,1,0.05
ACTB,5,35,26,13,2,11,1,0.0769,1,0.0909,27,31,13,1,0.0769
ACTB,10,29,24,9,1,8,0,0.0,0,0.0,23,29,9,0,0.0
PCA3,1,0,0,0,0,0,0,0.0,0,0.0,0,68,0,0,0.0
PCA3,2,0,0,0,0,0,0,0.0,0,0.0,0,53,0,0,0.0
PCA3,5,0,0,0,0,0,0,0.0,0,0.0,0,35,0,0,0.0
PCA3,10,0,0,0,0,0,0,0.0,0,0.0,0,28,0,0,0.0
CD44,1,140,108,52,13,39,23,0.4423,13,0.3333,158,96,48,19,0.3958
CD44,2,112,80,39,8,31,22,0.5641,14,0.4516,124,74,34,18,0.5294
CD44,5,83,61,27,1,26,10,0.3704,9,0.3462,73,51,25,9,0.36
CD44,10,65,51,17,2,15,7,0.4118,5,0.3333,53,48,13,4,0.3077
MALAT1,1,48,40,22,4,18,6,0.2727,3,0.1667,170,46,19,5,0.2632
MALAT1,2,40,31,20,4,16,7,0.35,4,0.25,113,37,16,4,0.25
MALAT1,5,34,23,15,4,11,5,0.3333,3,0.2727,53,32,14,4,0.2857
MALAT1,10,31,17,17,5,12,6,0.3529,3,0.25,38,24,13,2,0.1538
GAPDH,1,62,34,36,11,25,21,0.5833,12,0.48,273,48,36,21,0.5833
GAPDH,2,57,30,34,11,23,22,0.6471,13,0.5652,175,41,34,22,0.6471
GAPDH,5,48,24,29,9,20,13,0.4483,7,0.35,74,34,29,13,0.4483
GAPDH,10,42,21,26,8,18,10,0.3846,5,0.2778,51,30,26,10,0.3846
TP53,1,29,34,5,2,3,2,0.4,0,0.0,60,27,4,1,0.25
TP53,2,21,22,4,1,3,2,0.5,1,0.3333,38,22,4,2,0.5
TP53,5,16,18,1,0,1,0,0.0,0,0.0,28,15,1,0,0.0
TP53,10,14,15,0,0,0,0,0.0,0,0.0,20,15,0,0,0.0
